((1/23,00),38336)
((1/23,01),39851)
((1/23,02),41239)
((1/23,03),40918)
((1/23,04),39246)
((1/23,05),35271)
((1/23,06),31354)
((1/23,07),28008)
((1/23,08),27444)
((1/23,09),26993)
((1/23,10),27929)
((1/23,11),31343)
((1/23,12),35246)
((1/23,13),40493)
((1/23,14),44210)
((1/23,15),44469)
((1/23,16),41126)
((1/23,17),38218)
((1/23,18),36575)
((1/23,19),36818)
((1/23,20),37951)
((1/23,21),38633)
((1/23,22),42239)
((1/23,23),44146)
((1/24,00),41408)
((1/24,01),43628)
((1/24,02),45310)
((1/24,03),43122)
((1/24,04),37287)
((1/24,05),31729)
((1/24,06),27787)
((1/24,07),25569)
((1/24,08),25060)
((1/24,09),26473)
((1/24,10),28546)
((1/24,11),32920)
((1/24,12),39162)
((1/24,13),44965)
((1/24,14),48613)
((1/24,15),48437)
((1/24,16),45710)
((1/24,17),40836)
((1/24,18),38688)
((1/24,19),37414)
((1/24,20),37825)
((1/24,21),40563)
((1/24,22),42653)
((1/24,23),43929)
((1/25,00),43468)
((1/25,01),43667)
((1/25,02),44464)
((1/25,03),42426)
((1/25,04),37022)
((1/25,05),31898)
((1/25,06),27603)
((1/25,07),25414)
((1/25,08),25124)
((1/25,09),26556)
((1/25,10),28447)
((1/25,11),33462)
((1/25,12),39811)
((1/25,13),50581)
((1/25,14),53701)
((1/25,15),58047)
((1/25,16),53436)
((1/25,17),42713)
((1/25,18),39142)
((1/25,19),38861)
((1/25,20),38112)
((1/25,21),40969)
((1/25,22),42593)
((1/25,23),43382)
((1/26,00),43497)
((1/26,01),45600)
((1/26,02),48947)
((1/26,03),48666)
((1/26,04),38637)
((1/26,05),31917)
((1/26,06),27658)
((1/26,07),25605)
((1/26,08),25285)
((1/26,09),26588)
((1/26,10),29025)
((1/26,11),33338)
((1/26,12),39652)
((1/26,13),46627)
((1/26,14),50481)
((1/26,15),50563)
((1/26,16),46960)
((1/26,17),42875)
((1/26,18),40526)
((1/26,19),38572)
((1/26,20),39551)
((1/26,21),42043)
((1/26,22),44267)
((1/26,23),45536)
((1/27,00),45558)
((1/27,01),45021)
((1/27,02),38460)
((1/27,03),43236)
((1/27,04),38410)
((1/27,05),32683)
((1/27,06),30863)
((1/27,07),28833)
((1/27,08),26674)
((1/27,09),27297)
((1/27,10),30632)
((1/27,11),34741)
((1/27,12),40994)
((1/27,13),47451)
((1/27,14),50806)
((1/27,15),50398)
((1/27,16),47908)
((1/27,17),43489)
((1/27,18),40724)
((1/27,19),34977)
((1/27,20),38959)
((1/27,21),41079)
((1/27,22),44215)
((1/27,23),46083)
((1/28,00),45674)
((1/28,01),46047)
((1/28,02),45984)
((1/28,03),46700)
((1/28,04),39604)
((1/28,05),33732)
((1/28,06),30030)
((1/28,07),27356)
((1/28,08),26790)
((1/28,09),27924)
((1/28,10),29953)
((1/28,11),35693)
((1/28,12),41197)
((1/28,13),46956)
((1/28,14),51623)
((1/28,15),51874)
((1/28,16),49361)
((1/28,17),45943)
((1/28,18),37606)
((1/28,19),37405)
((1/28,20),37642)
((1/28,21),38783)
((1/28,22),40822)
((1/28,23),40274)
((1/29,00),41278)
((1/29,01),42494)
((1/29,02),43303)
((1/29,03),42087)
((1/29,04),38664)
((1/29,05),34299)
((1/29,06),30211)
((1/29,07),27253)
((1/29,08),26885)
((1/29,09),26961)
((1/29,10),27818)
((1/29,11),31525)
((1/29,12),36099)
((1/29,13),41524)
((1/29,14),47344)
((1/29,15),51401)
((1/29,16),51407)
((1/29,17),56562)
((1/29,18),40372)
((1/29,19),35612)
((1/29,20),34291)
((1/29,21),33899)
((1/29,22),34808)
((1/29,23),38621)
((1/30,00),38810)
((1/30,01),40049)
((1/30,02),42292)
((1/30,03),41608)
((1/30,04),40047)
((1/30,05),36384)
((1/30,06),31979)
((1/30,07),28607)
((1/30,08),28136)
((1/30,09),27742)
((1/30,10),29351)
((1/30,11),32536)
((1/30,12),36335)
((1/30,13),41318)
((1/30,14),45927)
((1/30,15),46914)
((1/30,16),43067)
((1/30,17),39634)
((1/30,18),38429)
((1/30,19),38647)
((1/30,20),38474)
((1/30,21),38877)
((1/30,22),41742)
((1/30,23),42816)
((1/31,00),42012)
((1/31,01),45601)
((1/31,02),45940)
((1/31,03),44260)
((1/31,04),38467)
((1/31,05),32130)
((1/31,06),28103)
((1/31,07),25935)
((1/31,08),26250)
((1/31,09),27117)
((1/31,10),29722)
((1/31,11),34457)
((1/31,12),40675)
((1/31,13),46600)
((1/31,14),47657)
((1/31,15),46530)
((1/31,16),44485)
((1/31,17),42610)
((1/31,18),40160)
((1/31,19),39246)
((1/31,20),39786)
((1/31,21),41972)
((1/31,22),43684)
((1/31,23),45621)
((2/1,00),44549)
((2/1,01),44814)
((2/1,02),44711)
((2/1,03),43858)
((2/1,04),38760)
((2/1,05),32252)
((2/1,06),28521)
((2/1,07),26256)
((2/1,08),26515)
((2/1,09),27373)
((2/1,10),29561)
((2/1,11),34184)
((2/1,12),41052)
((2/1,13),46811)
((2/1,14),49755)
((2/1,15),48913)
((2/1,16),47257)
((2/1,17),43476)
((2/1,18),41873)
((2/1,19),40215)
((2/1,20),40532)
((2/1,21),42914)
((2/1,22),43915)
((2/1,23),46762)
((2/2,00),46428)
((2/2,01),46262)
((2/2,02),45124)
((2/2,03),45328)
((2/2,04),39065)
((2/2,05),33383)
((2/2,06),29274)
((2/2,07),26868)
((2/2,08),26568)
((2/2,09),27665)
((2/2,10),30253)
((2/2,11),34675)
((2/2,12),41391)
((2/2,13),46708)
((2/2,14),47957)
((2/2,15),47006)
((2/2,16),46027)
((2/2,17),45520)
((2/2,18),43287)
((2/2,19),42146)
((2/2,20),41405)
((2/2,21),43495)
((2/2,22),45356)
((2/2,23),47634)
((2/3,00),47597)
((2/3,01),52971)
((2/3,02),50755)
((2/3,03),46904)
((2/3,04),41816)
((2/3,05),35903)
((2/3,06),30256)
((2/3,07),27839)
((2/3,08),27546)
((2/3,09),28171)
((2/3,10),31176)
((2/3,11),34355)
((2/3,12),40937)
((2/3,13),47257)
((2/3,14),51684)
((2/3,15),52160)
((2/3,16),49314)
((2/3,17),45234)
((2/3,18),41409)
((2/3,19),39608)
((2/3,20),40623)
((2/3,21),42411)
((2/3,22),44868)
((2/3,23),46557)
((2/4,00),45125)
((2/4,01),45320)
((2/4,02),44287)
((2/4,03),44857)
((2/4,04),38304)
((2/4,05),33113)
((2/4,06),30193)
((2/4,07),27460)
((2/4,08),27290)
((2/4,09),28145)
((2/4,10),30682)
((2/4,11),36173)
((2/4,12),41418)
((2/4,13),47631)
((2/4,14),52072)
((2/4,15),54212)
((2/4,16),51483)
((2/4,17),47032)
((2/4,18),42672)
((2/4,19),40000)
((2/4,20),39156)
((2/4,21),41025)
((2/4,22),41814)
((2/4,23),44752)
((2/5,00),43999)
((2/5,01),44525)
((2/5,02),45304)
((2/5,03),43335)
((2/5,04),38972)
((2/5,05),34902)
((2/5,06),29767)
((2/5,07),27353)
((2/5,08),27113)
((2/5,09),27230)
((2/5,10),28340)
((2/5,11),31524)
((2/5,12),36939)
((2/5,13),42902)
((2/5,14),47911)
((2/5,15),51458)
((2/5,16),49450)
((2/5,17),44992)
((2/5,18),40846)
((2/5,19),37739)
((2/5,20),36026)
((2/5,21),36499)
((2/5,22),38018)
((2/5,23),41276)
((2/6,00),41078)
((2/6,01),42692)
((2/6,02),43766)
((2/6,03),44532)
((2/6,04),42104)
((2/6,05),40158)
((2/6,06),33190)
((2/6,07),29469)
((2/6,08),28980)
((2/6,09),27850)
((2/6,10),29717)
((2/6,11),34347)
((2/6,12),39199)
((2/6,13),45215)
((2/6,14),49583)
((2/6,15),50769)
((2/6,16),46649)
((2/6,17),44254)
((2/6,18),41905)
((2/6,19),40381)
((2/6,20),41201)
((2/6,21),42207)
((2/6,22),44267)
((2/6,23),52172)
((2/7,00),57561)
((2/7,01),60706)
((2/7,02),54176)
((2/7,03),51287)
((2/7,04),36363)
((2/7,05),31304)
((2/7,06),28147)
((2/7,07),26313)
((2/7,08),26432)
((2/7,09),27625)
((2/7,10),29886)
((2/7,11),35077)
((2/7,12),41789)
((2/7,13),47931)
((2/7,14),50222)
((2/7,15),51990)
((2/7,16),47425)
((2/7,17),42545)
((2/7,18),40061)
((2/7,19),39354)
((2/7,20),40232)
((2/7,21),42447)
((2/7,22),45838)
((2/7,23),46750)
((2/8,00),45742)
((2/8,01),44090)
((2/8,02),43333)
((2/8,03),42442)
((2/8,04),37293)
((2/8,05),32189)
((2/8,06),28355)
((2/8,07),26893)
((2/8,08),27134)
((2/8,09),28326)
((2/8,10),30571)
((2/8,11),34947)
((2/8,12),40824)
((2/8,13),47426)
((2/8,14),52307)
((2/8,15),53440)
((2/8,16),49479)
((2/8,17),44193)
((2/8,18),41317)
((2/8,19),39849)
((2/8,20),40197)
((2/8,21),43141)
((2/8,22),45574)
((2/8,23),47035)
